Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,7610,93758,2718.6,0.0812,13213.06,60.33,4261.43,45.06,4.86
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,438,7769,108.75,0.0564,1280.69,8.56,407.96,12.7,11.78
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,469,1631,40.79,0.2876,297.92,1.5,465.5,27.19,7.3
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,2985,4489,399.59,0.665,31156.88,177.56,5853.1,2.25,77.97
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,75,205,7.43,0.36590000000000006,752.38,3.5,54.5,2.12,101.26
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,47,212,5.08,0.2217,319.65,1.5,64.5,3.39,62.92
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,690,6176,68.68,0.1117,1209.9,7.52,716.18,9.14,17.62
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,116,658,7.39,0.17629999999999998,1063.79,26.5,207.64,0.28,143.95
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1156,39068,846.71,0.0296,2768.07,14.17,603.17,59.75,3.27
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,70,314,11.75,0.2229,167.15,1.5,110.5,7.83,14.23
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,39,381,8.1,0.1024,33.99,1.0,15.0,8.1,4.2
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,5,253,1.86,0.019799999999999998,19.15,1.0,35.0,1.86,10.3
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,31,601,15.34,0.0516,189.75,1.0,35.0,15.34,12.37
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,3681,6342,208.86,0.5804,27901.73,174.61,6676.25,1.2,133.59
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,55,549,9.84,0.1002,224.95,2.5,46.5,3.94,22.86
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,365,3115,29.14,0.11720000000000001,220.36,2.0,300.0,14.57,7.56
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,538,16880,323.15,0.0319,1912.04,11.76,375.76,27.47,5.92
